training,features,model,items,cm,metrics,roc_auc
0,"{'train': {'feat': ['accepts_mercadopago', 'automatic_relist', 'price_scaled', 'initial_quantity_scaled', 'is_USD', 'listing_type_id_free', 'listing_type_id_gold', 'listing_type_id_gold_premium', 'listing_type_id_gold_pro', 'listing_type_id_gold_special', 'listing_type_id_silver', 'buying_mode_buy_it_now', 'buying_mode_classified', 'status_not_yet_active', 'status_paused'], 'target': {'new': 47859, 'used': 41250}}, 'test': {'feat': ['accepts_mercadopago', 'automatic_relist', 'price_scaled', 'initial_quantity_scaled', 'is_USD', 'listing_type_id_free', 'listing_type_id_gold', 'listing_type_id_gold_premium', 'listing_type_id_gold_pro', 'listing_type_id_gold_special', 'listing_type_id_silver', 'buying_mode_buy_it_now', 'buying_mode_classified', 'status_not_yet_active', 'status_paused'], 'target': {'new': 5349, 'used': 4556}}}",LogisticRegression,"{'train': 89109, 'test': 9905}","[[0.9590577678070668, 0.04094223219293326], [0.5287532923617209, 0.4712467076382792]]","{'new': {'precision': 0.6804615996816554, 'recall': 0.9590577678070668, 'f1-score': 0.7960893854748603, 'support': 5349.0}, 'used': {'precision': 0.9074387151310228, 'recall': 0.4712467076382792, 'f1-score': 0.6203409419242993, 'support': 4556.0}, 'accuracy': 0.7346794548207976, 'macro avg': {'precision': 0.7939501574063391, 'recall': 0.715152237722673, 'f1-score': 0.7082151636995798, 'support': 9905.0}, 'weighted avg': {'precision': 0.7848641981659885, 'recall': 0.7346794548207976, 'f1-score': 0.715250424463618, 'support': 9905.0}}",0.715152237722673
1,"{'train': {'feat': ['accepts_mercadopago', 'automatic_relist', 'initial_quantity_scaled', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified'], 'target': {'new': 47859, 'used': 41250}}, 'test': {'feat': ['accepts_mercadopago', 'automatic_relist', 'initial_quantity_scaled', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified'], 'target': {'new': 5349, 'used': 4556}}}",LogisticRegression,"{'train': 89109, 'test': 9905}","[[0.9584969153112731, 0.04150308468872686], [0.5280948200175593, 0.47190517998244075]]","{'new': {'precision': 0.680605336519315, 'recall': 0.9584969153112731, 'f1-score': 0.7959944108057755, 'support': 5349.0}, 'used': {'precision': 0.9064080944350759, 'recall': 0.47190517998244075, 'f1-score': 0.6206697459584296, 'support': 4556.0}, 'accuracy': 0.7346794548207976, 'macro avg': {'precision': 0.7935067154771954, 'recall': 0.7152010476468569, 'f1-score': 0.7083320783821025, 'support': 9905.0}, 'weighted avg': {'precision': 0.7844677661068169, 'recall': 0.7346794548207976, 'f1-score': 0.7153503751627156, 'support': 9905.0}}",0.715201047646857
2,"{'train': {'feat': ['accepts_mercadopago', 'automatic_relist', 'initial_quantity_scaled', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours'], 'target': {'new': 47859, 'used': 41250}}, 'test': {'feat': ['accepts_mercadopago', 'automatic_relist', 'initial_quantity_scaled', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours'], 'target': {'new': 5349, 'used': 4556}}}",LogisticRegression,"{'train': 89109, 'test': 9905}","[[0.9584969153112731, 0.04150308468872686], [0.5280948200175593, 0.47190517998244075]]","{'new': {'precision': 0.680605336519315, 'recall': 0.9584969153112731, 'f1-score': 0.7959944108057755, 'support': 5349.0}, 'used': {'precision': 0.9064080944350759, 'recall': 0.47190517998244075, 'f1-score': 0.6206697459584296, 'support': 4556.0}, 'accuracy': 0.7346794548207976, 'macro avg': {'precision': 0.7935067154771954, 'recall': 0.7152010476468569, 'f1-score': 0.7083320783821025, 'support': 9905.0}, 'weighted avg': {'precision': 0.7844677661068169, 'recall': 0.7346794548207976, 'f1-score': 0.7153503751627156, 'support': 9905.0}}",0.715201047646857
3,"{'train': {'feat': ['accepts_mercadopago', 'automatic_relist', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours'], 'target': {'new': 47859, 'used': 41250}}, 'test': {'feat': ['accepts_mercadopago', 'automatic_relist', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours'], 'target': {'new': 5349, 'used': 4556}}}",LogisticRegression,"{'train': 89109, 'test': 9905}","[[0.9584969153112731, 0.04150308468872686], [0.5280948200175593, 0.47190517998244075]]","{'new': {'precision': 0.680605336519315, 'recall': 0.9584969153112731, 'f1-score': 0.7959944108057755, 'support': 5349.0}, 'used': {'precision': 0.9064080944350759, 'recall': 0.47190517998244075, 'f1-score': 0.6206697459584296, 'support': 4556.0}, 'accuracy': 0.7346794548207976, 'macro avg': {'precision': 0.7935067154771954, 'recall': 0.7152010476468569, 'f1-score': 0.7083320783821025, 'support': 9905.0}, 'weighted avg': {'precision': 0.7844677661068169, 'recall': 0.7346794548207976, 'f1-score': 0.7153503751627156, 'support': 9905.0}}",0.715201047646857
4,"{'train': {'feat': ['accepts_mercadopago', 'automatic_relist', 'price_scaled', 'is_USD', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours'], 'target': {'new': 47859, 'used': 41250}}, 'test': {'feat': ['accepts_mercadopago', 'automatic_relist', 'price_scaled', 'is_USD', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours'], 'target': {'new': 5349, 'used': 4556}}}",LogisticRegression,"{'train': 89109, 'test': 9905}","[[0.9584969153112731, 0.04150308468872686], [0.5280948200175593, 0.47190517998244075]]","{'new': {'precision': 0.680605336519315, 'recall': 0.9584969153112731, 'f1-score': 0.7959944108057755, 'support': 5349.0}, 'used': {'precision': 0.9064080944350759, 'recall': 0.47190517998244075, 'f1-score': 0.6206697459584296, 'support': 4556.0}, 'accuracy': 0.7346794548207976, 'macro avg': {'precision': 0.7935067154771954, 'recall': 0.7152010476468569, 'f1-score': 0.7083320783821025, 'support': 9905.0}, 'weighted avg': {'precision': 0.7844677661068169, 'recall': 0.7346794548207976, 'f1-score': 0.7153503751627156, 'support': 9905.0}}",0.715201047646857
5,"{'train': {'feat': ['accepts_mercadopago', 'automatic_relist', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours', 'quant_single_unit', 'quant_small'], 'target': {'new': 47859, 'used': 41250}}, 'test': {'feat': ['accepts_mercadopago', 'automatic_relist', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours', 'quant_single_unit', 'quant_small'], 'target': {'new': 5349, 'used': 4556}}}",LogisticRegression,"{'train': 89109, 'test': 9905}","[[0.5427182650962796, 0.4572817349037203], [0.023266022827041263, 0.9767339771729587]]","{'new': {'precision': 0.9647723496178132, 'recall': 0.5427182650962796, 'f1-score': 0.6946637951663077, 'support': 5349.0}, 'used': {'precision': 0.6453016241299304, 'recall': 0.9767339771729587, 'f1-score': 0.7771568285015718, 'support': 4556.0}, 'accuracy': 0.7423523472993437, 'macro avg': {'precision': 0.8050369868738718, 'recall': 0.7597261211346191, 'f1-score': 0.7359103118339397, 'support': 9905.0}, 'weighted avg': {'precision': 0.8178254919375716, 'recall': 0.7423523472993437, 'f1-score': 0.7326080919735226, 'support': 9905.0}}",0.7597261211346191
6,"{'train': {'feat': ['accepts_mercadopago', 'automatic_relist', 'price_scaled', 'is_USD', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours', 'has_parent_item', 'has_store', 'high_ticket', 'quant_single_unit', 'quant_small'], 'target': {'new': 47859, 'used': 41250}}, 'test': {'feat': ['accepts_mercadopago', 'automatic_relist', 'price_scaled', 'is_USD', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours', 'has_parent_item', 'has_store', 'high_ticket', 'quant_single_unit', 'quant_small'], 'target': {'new': 5349, 'used': 4556}}}",LogisticRegression,"{'train': 89109, 'test': 9905}","[[0.7218171620863713, 0.2781828379136287], [0.11040386303775242, 0.8895961369622476]]","{'new': {'precision': 0.8847387717690193, 'recall': 0.7218171620863713, 'f1-score': 0.7950169875424689, 'support': 5349.0}, 'used': {'precision': 0.7314564158094207, 'recall': 0.8895961369622476, 'f1-score': 0.8028127166485095, 'support': 4556.0}, 'accuracy': 0.7989904088844019, 'macro avg': {'precision': 0.80809759378922, 'recall': 0.8057066495243095, 'f1-score': 0.7989148520954892, 'support': 9905.0}, 'weighted avg': {'precision': 0.8142335306027466, 'recall': 0.7989904088844019, 'f1-score': 0.7986027868162823, 'support': 9905.0}}",0.8057066495243095
7,"{'train': {'feat': ['accepts_mercadopago', 'automatic_relist', 'price_scaled', 'is_USD', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours', 'has_parent_item', 'has_store', 'high_ticket', 'quant_single_unit', 'quant_small'], 'target': {'new': 47859, 'used': 41250}}, 'test': {'feat': ['accepts_mercadopago', 'automatic_relist', 'price_scaled', 'is_USD', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours', 'has_parent_item', 'has_store', 'high_ticket', 'quant_single_unit', 'quant_small'], 'target': {'new': 5349, 'used': 4556}}}",RandomForestClassifier,"{'train': 89109, 'test': 9905}","[[0.7765937558422135, 0.2234062441577865], [0.1248902546093064, 0.8751097453906936]]","{'new': {'precision': 0.8795257251746771, 'recall': 0.7765937558422135, 'f1-score': 0.8248610007942812, 'support': 5349.0}, 'used': {'precision': 0.7693940563489, 'recall': 0.8751097453906936, 'f1-score': 0.8188539741219963, 'support': 4556.0}, 'accuracy': 0.8219081272084806, 'macro avg': {'precision': 0.8244598907617886, 'recall': 0.8258517506164536, 'f1-score': 0.8218574874581388, 'support': 9905.0}, 'weighted avg': {'precision': 0.8288684931534513, 'recall': 0.8219081272084806, 'f1-score': 0.8220979504642529, 'support': 9905.0}}",0.8258517506164536
8,"{'train': {'feat': ['accepts_mercadopago', 'automatic_relist', 'price_scaled', 'is_USD', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours', 'has_parent_item', 'has_store', 'high_ticket', 'quant_single_unit', 'quant_small'], 'target': {'new': 47859, 'used': 41250}}, 'test': {'feat': ['accepts_mercadopago', 'automatic_relist', 'price_scaled', 'is_USD', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours', 'has_parent_item', 'has_store', 'high_ticket', 'quant_single_unit', 'quant_small'], 'target': {'new': 5349, 'used': 4556}}}",RandomForestClassifier,"{'train': 89109, 'test': 9905}","[[0.7932323798840905, 0.20676762011590952], [0.1273046532045654, 0.8726953467954346]]","{'new': {'precision': 0.8797428986108231, 'recall': 0.7932323798840905, 'f1-score': 0.8342508847817538, 'support': 5349.0}, 'used': {'precision': 0.7823691460055097, 'recall': 0.8726953467954346, 'f1-score': 0.8250674413778792, 'support': 4556.0}, 'accuracy': 0.8297829379101463, 'macro avg': {'precision': 0.8310560223081664, 'recall': 0.8329638633397625, 'f1-score': 0.8296591630798165, 'support': 9905.0}, 'weighted avg': {'precision': 0.8349539216426446, 'recall': 0.8297829379101463, 'f1-score': 0.8300267789616577, 'support': 9905.0}}",0.8329638633397626
9,"{'train': {'feat': ['accepts_mercadopago', 'automatic_relist', 'price_scaled', 'is_USD', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours', 'has_parent_item', 'has_store', 'high_ticket', 'quant_single_unit', 'quant_small'], 'target': {'new': 47859, 'used': 41250}}, 'test': {'feat': ['accepts_mercadopago', 'automatic_relist', 'price_scaled', 'is_USD', 'free_tier', 'buying_mode_buy_it_now', 'buying_mode_classified', 'is_weekend', 'is_working_hours', 'has_parent_item', 'has_store', 'high_ticket', 'quant_single_unit', 'quant_small'], 'target': {'new': 5349, 'used': 4556}}}",XGBClassifier,"{'train': 89109, 'test': 9905}","[[0.840904842026547, 0.15909515797345297], [0.18327480245829675, 0.8167251975417033]]","{'new': {'precision': 0.8434277142321395, 'recall': 0.840904842026547, 'f1-score': 0.8421643886912563, 'support': 5349.0}, 'used': {'precision': 0.8138670166229222, 'recall': 0.8167251975417033, 'f1-score': 0.8152936021034181, 'support': 4556.0}, 'accuracy': 0.8297829379101463, 'macro avg': {'precision': 0.8286473654275308, 'recall': 0.8288150197841251, 'f1-score': 0.8287289953973371, 'support': 9905.0}, 'weighted avg': {'precision': 0.8298306886584298, 'recall': 0.8297829379101463, 'f1-score': 0.829804640716073, 'support': 9905.0}}",0.8288150197841251
